Country,Stock_Market_Recovery,Lt_Yc,Mt_Yc,St_Yc,GDP_2019,Real_GDP_Growth,GDP_Deflator,Unemployment,Population,Inflation,Food_Inflation,Interest,,,,,,,,,,,,,
US,-19.13,38.3,15.2,5,2.3,2.4,113.04,4.4,329,1.5,1.9,0.25,,,,,,,,,,,,,
China,-9.36,116.9,49,17.6,6,6.1,684.89,5.9,1400,4.3,18.3,3.85,,,,,,,,,,,,,
Japan,-19.83,14.4,1.2,2.1,1.7,0.9,105.4,2.4,126,0.4,1.4,-0.1,,,,,,,,,,,,,
Germany,-24.55,24,4.8,-0.16,0.4,0.5,105.6,3.2,83,1.4,3.6,0,,,,,,,,,,,,,
India,-24.95,186.9,89,27.3,4.7,6.1,138.8,7.8,1312,5.91,8.76,4.4,,,,,,,,,,,,,
UK,-25.17,23.1,10.9,-4.8,1.1,1.2,106.48,4,66.7,1.5,1.3,0.1,,,,,,,,,,,,,
France,-27.04,57.7,22.1,-13.2,0.8,1.2,105.6,8.1,67,0.7,1.9,0,,,,,,,,,,,,,
Italy,-33.83,103.8,48.8,30.9,0.1,0,104.22,9.7,60.36,0.1,1.1,0,,,,,,,,,,,,,
Brazil,-36.98,347.6,238.9,20.2,1.7,0.9,4.2,11.6,210.15,3.3,4.87,3.75,,,,,,,,,,,,,
Canada,-19.64,24.5,10.2,-2,1.5,1.5,111.3,7.8,37.78,0.9,2.3,0.25,,,,,,,,,,,,,
South Korea,-16.67,57.5,29.5,13.5,1.3,2,101.77,3.8,51.71,1,2.6,0.75,,,,,,,,,,,,,
Russia,-20.43,70.5,32.5,16,2.1,1.1,118.53,4.7,146.8,2.5,2.2,5.5,,,,,,,,,,,,,
Spain,-34.28,97.3,43.9,1.1,1.8,2.2,105.6,13.8,46.94,0,2.5,0,,,,,,,,,,,,,
Australia,-27.13,67.5,22,2,2.2,1.7,104.63,5.2,25.6,1.8,2.6,0.25,,,,,,,,,,,,,
Mexico,-24.65,162.5,29,6.3,-0.5,0.4,130.38,3.6,126.58,3.25,6.81,6,,,,,,,,,,,,,
Indonesia,-30.12,186.3,116.9,62.8,4.97,5,145.09,5.28,266.1,2.96,6.15,4.5,,,,,,,,,,,,,
Netherlands,-19.68,42.1,10.6,-9.6,1.6,1.8,107.75,2.9,17.28,1.4,3.2,0,,,,,,,,,,,,,
Turkey,-98.39,307.5,229.5,35.5,6,0.2,191.5,13.8,83.15,11.86,10.05,8.75,,,,,,,,,,,,,
Switzerland,-14.54,25.8,4.2,-36.5,1.5,0.8,98.3,2.9,8.54,-0.5,-0.3,-0.75,,,,,,,,,,,,,
Poland,-22.16,77,37.5,14.3,0.3,4,107.5,5.4,37.67,4.6,7.5,0.5,,,,,,,,,,,,,
Taiwan,-13.24,20.5,6,2,1.89,2,97.95,3.76,23.6,-0.01,1.62,1.13,,,,,,,,,,,,,
Sweden,-19.26,28,10.5,3.5,0.2,0.9,105.6,7.1,10.23,0.6,2.5,0,,,,,,,,,,,,,
Belgium,-28.01,60.5,25.3,-10.3,0.4,1.2,107.64,5.2,11.46,0.62,2.34,0,,,,,,,,,,,,,
Thailand,-26.86,53.8,20.1,-1.7,0.2,2.9,154.74,1,66.56,-0.54,1.58,0.75,,,,,,,,,,,,,
Argentina,-32.44,-4729.5,-3505.5,4836,-1,-3.1,3770.07,8.9,44.94,46.9,54.2,38,,,,,,,,,,,,,
Nigeria,-29.94,500.8,287.1,321.8,5.59,2.3,202.67,23.1,200,12.26,14.98,13.5,,,,,,,,,,,,,
Austria,-34.11,48.9,21.2,1.9,0.3,1.6,106.75,12.2,8.86,1.6,1.8,0,,,,,,,,,,,,,
Norway,-22.83,43.5,14.4,9.7,-1.5,1.9,104.29,3.5,5.33,0.7,2.7,0.25,,,,,,,,,,,,,
Ireland,-25.74,49.5,19.4,0.5,1.8,4.3,102.08,5.4,4.9,0.7,-1.6,0,,,,,,,,,,,,,
Israel,-17.46,62.7,26.3,4.9,1.1,3.1,104.59,3.4,9.15,0,-0.2,0.1,,,,,,,,,,,,,
Hong Kong,-19.29,27.8,4.8,-12.8,-0.3,0.3,106.4,4.2,7.5,2.3,5.7,0.86,,,,,,,,,,,,,
Malaysia,-18.97,33.7,3.9,-9.8,0.6,4.5,106,3.3,32.6,-0.2,1.2,2.5,,,,,,,,,,,,,
Singapore,-21.56,51.5,1.1,5.2,-10.6,0.5,106.71,2.3,5.71,0,1.5,1.26,,,,,,,,,,,,,
Philippines,-34.84,40.4,25.5,3.4,2.2,5.7,199.02,5.3,108.8,2.5,2.6,2.75,,,,,,,,,,,,,
South Africa,-15.84,487,316,166,-1.4,0.7,101,29.1,58.8,4.1,4.4,4.25,,,,,,,,,,,,,
Denmark,-7.7,18,6.8,2.3,0.8,1.7,109.33,3.7,5.81,0.4,1.2,-0.6,,,,,,,,,,,,,
Colombia,-32.74,292.8,138.3,17,0.5,3.4,105,12.2,50.37,3.86,7.19,3.75,,,,,,,,,,,,,
Bangladesh,-32.51,100,45.4,21,7.9,7.8,229.41,4.2,165.2,5.48,5,6,,,,,,,,,,,,,
Egypt,-31.07,112.3,59.9,66.9,4.8,5.5,150,8,99.8,5.1,-1.7,9.25,,,,,,,,,,,,,
Chile,-27.08,232,90,1,-4.1,2.5,130,7.8,19.11,3.7,6.1,0.5,,,,,,,,,,,,,
Finland,-20.75,46,17.3,5.8,-0.7,1.2,117.69,7.3,5.53,0.6,1.8,0,,,,,,,,,,,,,
Czech Republic,-24.15,73.2,22.1,12.8,0.3,2.5,118.3,3,10.68,3.4,6.4,1,,,,,,,,,,,,,
Portugal,-22.74,98,53.7,17.5,0.7,1.9,1.6,6.7,10.26,0,1.22,0,,,,,,,,,,,,,
Greece,-32.98,146.2,100.3,33.4,-0.7,2,96.54,16.4,10.72,0,-0.1,0,,,,,,,,,,,,,
New Zealand,-10.11,55.2,13.3,4.5,0.5,2.5,1230,4,4.95,2.5,3.3,0.25,,,,,,,,,,,,,
Hungary,-26.84,106,19,13,1,4.6,166.77,3.7,9.77,3.9,7.7,0.9,,,,,,,,,,,,,
Lithuania,-7.7,25,0,0,1,3.4,113.35,9.8,2.79,1.8,3.6,0,,,,,,,,,,,,,
